Tweet,Tokens,Label,Prediction
gobyernong tapat angat buhay si rhoa matias bottom(char nursing student nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'rhoa', 'matias', 'bottom(char', 'nursing', 'student', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.981685221195221
gobyernong tapat angat buhay si alvah student leader nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'alvah', 'student', 'leader', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.9815686941146851
gobyernong tapat angat buhay si zeph engineering student nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'zeph', 'engineering', 'student', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.9814318418502808
gobyernong tapat angat buhay si kaizen manunulat advocate nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'kaizen', 'manunulat', 'advocate', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.9812878370285034
"gobyernong tapat,angat buhay si jean army,nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap","['gobyernong', 'tapat,angat', 'buhay', 'si', 'jean', 'army,nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.980205237865448
gobyernong tapat angat buhay si army nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'army', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.980205237865448
gobyernong tapat angat buhay si denise bloom leni-kiko nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'denise', 'bloom', 'leni-kiko', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.9800313711166382
gobyernong tapat angat buhay si marga estacio simpleng tao nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'marga', 'estacio', 'simpleng', 'tao', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.9800000190734863
gobyernong tapat angat buhay si yancy iskolar bayan nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'yancy', 'iskolar', 'bayan', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.9794532656669617
gobyernong tapat angat buhay si mia atiny nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'mia', 'atiny', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Positive,0.9791141152381897
