Token,TFIDF_Value
aaral,6.260096153727839
nirecount,6.260096153727839
nilalang,6.260096153727839
nilalabanan,6.260096153727839
nilagay,6.260096153727839
nila?...kaya,6.260096153727839
nickname,6.260096153727839
ngipin,6.260096153727839
ngayun,6.260096153727839
ngaun,6.260096153727839
ngang,6.260096153727839
ngaa,6.260096153727839
netong,6.260096153727839
net,6.260096153727839
nerved,6.260096153727839
neri,6.260096153727839
nenega,6.260096153727839
neighbors,6.260096153727839
negativity,6.260096153727839
nazis,6.260096153727839
naunang,6.260096153727839
natural,6.260096153727839
nation,6.260096153727839
natatamaan,6.260096153727839
natatakot,6.260096153727839
natapos,6.260096153727839
nasan,6.260096153727839
nasabing,6.260096153727839
nareport,6.260096153727839
naramdaman,6.260096153727839
napaunlad,6.260096153727839
niloko,6.260096153727839
nman,6.260096153727839
nabubully,6.260096153727839
nobody,6.260096153727839
others,6.260096153727839
originally,6.260096153727839
orgies,6.260096153727839
ordered,6.260096153727839
order,6.260096153727839
oras,6.260096153727839
ops,6.260096153727839
opportunity,6.260096153727839
opinion,6.260096153727839
op,6.260096153727839
ooopss,6.260096153727839
online,6.260096153727839
oligarchs,6.260096153727839
ol,6.260096153727839
ok,6.260096153727839
official,6.260096153727839
ocho,6.260096153727839
obviously,6.260096153727839
obvious,6.260096153727839
obob,6.260096153727839
"nyan""marcos",6.260096153727839
null,6.260096153727839
nowadays,6.260096153727839
notorious,6.260096153727839
notoriety,6.260096153727839
nostalgia,6.260096153727839
normal,6.260096153727839
none,6.260096153727839
non,6.260096153727839
napatalsik,6.260096153727839
napasa,6.260096153727839
napakalaking,6.260096153727839
napakadali,6.260096153727839
nahiya,6.260096153727839
nahagip,6.260096153727839
nagulat,6.260096153727839
nagtutulak,6.260096153727839
nagtimer,6.260096153727839
nagtatago,6.260096153727839
nagsuicide,6.260096153727839
nagsilabasan,6.260096153727839
nagsasawa,6.260096153727839
nagsasabing,6.260096153727839
nagsabi,6.260096153727839
nagresearch,6.260096153727839
nagpost,6.260096153727839
nagpapaliwanag,6.260096153727839
nagpapakalat,6.260096153727839
